,topic,hashtag,tweet_id,image_path,sample_path,body_text,image_text,text_with_OCR,lb_anoosha,lb_nishant,lb_zheyuan,is_same,label
0,Boomer,trumpliesamericansdie,1298382512016818176,./data_Boomer/trumpliesamericansdie/tweets4/EgTIA2cWAAAKPS1.jpg,./annotation_data/Boomer/EgTIA2cWAAAKPS1.jpg,"On Nov.3 Vote for Joe Biden and all Democrats Senators. Tell Trump we don't want a dictator we live in a democracy.
#TrumpChaos
#TrumpLiesAmericansDie 
#TrumpIsALaughingStock https://t.co/ALX0vvzJYT", No Trump Youre Fired ,No Trump re Fired Spec,1,1,1,1,
1,Immigration,americafirst,1295930048583815168,./data_Immigration/americafirst/tweets3/EfwRdl_WoAAuKgA.jpg,./annotation_data/Immigration/EfwRdl_WoAAuKgA.jpg,"Vindiciae Contra Tyrannos: Defense of Liberty Against Tyrants.

Good night @POTUS @FLOTUS and all Patriots!

#DefeatSpanberger #Virginia #VoterID #Hannity #IngrahamAngle #BlueLivesMatter #Military #2A #BackTheBlue #VoteRed2020 #AmericaFirst #AmericansFirst #1A #FoxNewsAtNight https://t.co/DQKltGVRw7", WE DONT CARE WHICH ONE YOU ARE WE ARE AGAINST ALL ENEMIES FOREIGN AND OMESTIC facebook PadriolRevohbion  YOUR ASS IS OURS ,WED CARE WHICH ONE YOU ARE WE ARE AGAINST ALL FOREIGN we Ay cal oil YOUR ASS IS,1,1,1,1,
2,Boomer,trumpliesamericansdie,1292988243886170117,./data_Boomer/trumpliesamericansdie/tweets2/EfGdrJ3XYAIrNeU.jpg,./annotation_data/Boomer/EfGdrJ3XYAIrNeU.jpg,"Reporters SHOULD #InterruptTrump , and all WALK OUT as one when he lies and bullies a fellow reporter. 
His ""briefings"" are no more than masturbatory rallies for himself anyway, and not worthy of even covering! 
#TrumpIsACompleteFailure #LiarInChief #TrumpLiesAmericansDie https://t.co/54mNQ4RL7S",  TRUMP 2020 IT IS WHAT IT IS  SCAMAZON ,aa Ta za AS,1,1,1,1,
3,Boomer,trumpliesamericansdie,1298965693904433152,./data_Boomer/trumpliesamericansdie/tweets4/Egbaag1WoAIaO1c.jpg,./annotation_data/Boomer/Egbaag1WoAIaO1c.jpg,@CDCgov changes guidelines under direction of @realDonaldTrump a government agency bows down to the whim of a dictator #CDCBowsToTrump #TrumpLiesAmericansDie #TrumpLiesPeopleDie https://t.co/P7tqS2iENh, THANK ME FOR THE TREMENDOUS JOB im DOING ,ME FoR ie DOING oR ge As ey,1,1,1,1,
4,AsianHate,ChinaVirus,1294875623417159681,./data_AsianHate/ChinaVirus/tweets3/EfhScg9XYAADhxf.jpg,./annotation_data/AsianHate/EfhScg9XYAADhxf.jpg,"@Britnabee @BernardKerik @realDonaldTrump Oh, #ChinaVirus, Biden’s country https://t.co/yjPmj1bidK", Top three toughest jobs in America right now D Police officer 2 Crab fisherman 3 Sign language interpreter for Joe Biden ,Top three in right now fisherman interpreter for Joe,1,1,1,1,
5,Boomer,trumpliesamericansdie,1292236130772045830,./data_Boomer/trumpliesamericansdie/tweets2/Ee7x5wmWsAIb90F.jpg,./annotation_data/Boomer/Ee7x5wmWsAIb90F.jpg,"@JHoganGidley @realDonaldTrump Stop trying to shove this monster down our throats.

We hate him. We really hate him.

#TrumpGenocide
#TrumpGestapo #TrumpIsAMasdMurderer #TrumpLiesAmericansDie https://t.co/Sv6qAF0RfH", DONNIE BODYBAGS 160000 DEATHS AND COUNTING imgflipcom ,AND COUNTING,1,1,1,1,
6,Political,maga,1295791990718832640,./data_Political/maga/tweets3/EfuTeAuWsAAeAwr.jpg,./annotation_data/Political/EfuTeAuWsAAeAwr.jpg,"@MadeInMexLoveUS @billnkate @DanScavino And just like that the narrative changes. #Chameleon
#QAnonCult #MAGA #RacistInChief https://t.co/cjcMhagL3X", Why are we having all these people from shithole countries come here TRUMP WHITE HOUSE ,ae me all these people from come here TRUMP WHITE HOUSE,1,1,1,1,
7,Immigration,cdnpoli,1296429423927885824,./data_Immigration/cdnpoli/tweets3/Ef3XsJ1XgAERMyD.jpg,./annotation_data/Immigration/Ef3XsJ1XgAERMyD.jpg,"The same journalists, politicians, political pundits that claimed Pierre Poilievre would be a great Prime Minister claim that Chrystia Freeland is not qualified to be the Minister of Finance! 🙄

#cdnpoli https://t.co/eCeR55cnST", Harvard Career Politician Oxford Yells a lot Rhodes YesNo Scholar question specialist Best Selling TrudeauTriggered Author meme machine Speaks 5 Languanges Crayon economist Fighter Donk ,Career Politician lot Ne Scholar question specialist Best Selling bate rel machine ist Crayon aS,1,1,1,1,
8,Political,trumpvirus,1297221629421006849,./data_Political/trumpvirus/tweets4/EgCoMmMXkAIQq8e.jpg,./annotation_data/Political/EgCoMmMXkAIQq8e.jpg,@realDonaldTrump Weird. Last I heard...you’re the occupier blackmailing governors with taxpayer money. You’re the reason #TrumpVirus death toll is climbing to insane numbers. YOU. Trump is still recruiting. DON’T SiGN UP. https://t.co/fs7fzQlR61, I WANTYOU TO DIE for our ECONOMY OPEN AMERICA TODAY eTHOocOLuas OeTGLNYC ,TO DIE for our ECONOMY OPEN TODAY,1,1,1,1,
9,AsianHate,chinesevirus,1292833700317663232,./data_AsianHate/chinesevirus/tweets2/EfERZBwWoAM4QzU.jpg,./annotation_data/AsianHate/EfERZBwWoAM4QzU.jpg,#China and #ChineseVirus are now controlling the world economies and BOTH are out of control... @Swamy39 https://t.co/kXhPcNZE5E, ht Maybe thats a question you should ask China ,Maybe thats question you should ask China,1,1,1,1,
10,AsianHate,chinesevirus,1298919687154065408,./data_AsianHate/chinesevirus/tweets4/Egawj1xVAAQdXA0.jpg,./annotation_data/AsianHate/Egawj1xVAAQdXA0.jpg,"@globaltimesnews #India does not believe dealing with #Galwan traitor n expansionist #China who gave #ChineseVirus #Madein #WuhanLab
#China hacked other NTN knowledge n belives in falsehood
Time for #India 2sever all bilateral relations with #China untill all occupied lands r returned
Jai Hind https://t.co/dDO4tUueNK", Sarvoday Foundation COTCHINA      Sarveday through Email  sarvo transparency Raigad egn Web wwwsa Afghanistan China COK 1 POK COK 2 bakistan     RECLAIM OCCUPIED LAND ,TI wun fin aes on,1,1,1,1,
11,Vaccine,CovidHoax,1292959052876611584,./data_Vaccine/CovidHoax/tweets2/EfGDaCNXkAQbN0d.jpg,./annotation_data/Vaccine/EfGDaCNXkAQbN0d.jpg,"Pedophiles Now Control America - No Child is Safe from Medical Kidnapping

Read the full story here: https://t.co/P0r4ZN88HZ

#medicalkidnap #Plandemic #CovidHoax #ChildTrafficking #CPS #PizzaGate https://t.co/mIMiVzn9ur", Kidnapping Doctors Susan M Lamb Alice Whittier Newton Bethany Mohr Channing Petrak Deborah Lowen Stacy Wood Thomas Nancy Henderson Shannon L Thompson MaryFran Crosswell Amy Barton Verena Brown OFO Kathryn R Crowell Michelle T Chudow Roberta Hibbard Terra Nicole Frazier Matthew J Cox Carol Berkowitz ,aT maple yas Lam Nice Newton Mohr Lower Wood Ne ae me Con Carol Berkowitz,1,1,1,1,
12,Immigration,liberals,1296581002735652864,./data_Immigration/liberals/tweets3/Ef5hjF8UcAE48ro.jpg,./annotation_data/Immigration/Ef5hjF8UcAE48ro.jpg,Basically... #JoeBiden #JoeBidenKamalaHarris2020 #DemocraticNationalConvention #PEDOGATEISREAL #KamalaHarrisVP #Liberals #Democrats https://t.co/vWQXRcmV8P, Libs we just want leaders who support free healthcare and free college DNC Best I can do is an old retarded pedo and the Rachel Dolezal of cops ,we just want who support free and free college be at oe ay Best is an old retarded Do,1,1,1,1,
13,Political,maga,1292252442944393216,./data_Political/maga/tweets2/Ee6cdKXU8AEawah.jpg,./annotation_data/Political/Ee6cdKXU8AEawah.jpg,#uspoli #Putin #Russia DOMINATES djt by @Patbagley https://t.co/mBzvSqxNrA   #uspolitics #bunkerboy 🇺🇸🇺🇸🇺🇸🇺🇸 #maga #kag #PersonWomanManCameraTv #insiders, THE SAUT LAKE TRIBUNE TAKING A KNEE ,oF me TAKING KNEE,1,1,1,1,
14,Political,Trump2020,1292897669250199552,./data_Political/Trump2020/tweets2/EfFLik1XoAgxBzh.jpg,./annotation_data/Political/EfFLik1XoAgxBzh.jpg,"@FSUKXAZ @247Sports No, the democratic radical deep state Governors which are the same ones who dont have control of their cities and who are just wanting a shot as Joe Bidens VP pick are the ones causing all the hysteria. #Trump2020 landslide incoming. https://t.co/3LE31Obvt0", HIN1 Virus COVID 19  US CASES   US CASES  46 MILLION lo date 8120 608 MILLION  PANIC LEVEL   PANIC LEVEL  ZERO MASS HYSTERIA US CLOSED  CHINA BLAMED   TRUMP BLAMED  Which of these presidents gave a 37 Mil grant to Wuhan labs ,ad Virus COVID US US MILLION MIL ION Ta PANIC LEVEL PANIC LI ZERO aa Say eA onset TRUE BLAMED Which of these gave Mil grant to,1,1,1,1,
15,Boomer,karen,1297534797275959296,./data_Boomer/karen/tweets4/EgHFBWeXYAA6no4.jpg,./annotation_data/Boomer/EgHFBWeXYAA6no4.jpg,"If you're out, be kind. Don't be a #Karen https://t.co/Yc1MLyi6zE", Church is over Time to go be a cunt to some poor food worker ifunnyco ,Church over ae ae Time to go to some poor food worker,1,1,1,1,
16,Boomer,trumpliesamericansdie,1296121126494466048,./data_Boomer/trumpliesamericansdie/tweets3/Efy_SziUEAA2O2W.jpg,./annotation_data/Boomer/Efy_SziUEAA2O2W.jpg,@realDonaldTrump This is your brand. Hatred. Divisiveness. Cheating. Lying. Racism. Misogyny. And did I mention hatred???? #AmericaOrTrump #TrumpLiesAmericansDie #TrumpIsANationalDisgrace https://t.co/TQw9eLt2oj, GREAT AGAIN YOU CANT SPELL HATRED MAKE AMERIC GREAT AGAIN WITHOUT A RED HAT ,HATRED AGA re ae RED HAT,1,1,1,1,
17,Boomer,trumpliesamericansdie,1297537321206714368,./data_Boomer/trumpliesamericansdie/tweets4/EgHHTSSWkAEzbGt.jpg,./annotation_data/Boomer/EgHHTSSWkAEzbGt.jpg,@BleedingMarine Of course #TrumpsVaccineIsALie because everything The Obese Orange AntiChrist says is a lie. He’s pathological &amp; genetically incapable of telling the truth 🤥 #TrumpLiesAmericansDie #SundayMorning https://t.co/mgM9pcRmiT, SURGEON GENERALS WARNING Listening To This Moron May Be Hazardous To Your Health ,St eR STROM alco Ca MOR We,1,1,1,1,
18,Political,Trump2020,1296968968289345536,./data_Political/Trump2020/tweets4/Ef_CZSBWkAAP-FV.jpg,./annotation_data/Political/Ef_CZSBWkAAP-FV.jpg,"“Straight Outta Tha Communist Manifesto”
#JoeBlow #JoeAndTheHoe #Trump2020 #Trump2020Landslide https://t.co/kHCLnLh0P0"," IF THIS WAS A ALBUM COVERWHAT WOULD YOU NAME ITO PARENTAL ADVISORY EXPLICIT CONTENT made with mematic 
",IF THIS WAS ALBUM COVER vee WOULD YOU IT ne Ge io oe date ne tA we Wo oS,0,1,0,0,1.0
19,Political,Trump2020,1299080907836489736,./data_Political/Trump2020/tweets4/EgdDM3mUYAA9JQK.jpg,./annotation_data/Political/EgdDM3mUYAA9JQK.jpg,"Says it all.
#trump2020
#maga
#HidinBiden 
#goodvsevil
#AmericaFirst https://t.co/bYKZGziB5L"," 1619 PROJECT ELECTION 2020 Est 76 NO ACCOUNTS FOR WHITE ylal ADVOCACY AL White People Have a Racist Subconscious Virus HIRE FEWER WHITES macys POLICE ACCSM HAS PACE NERE HINNEAPOLIS PORTLAND DEFUND CRY CHICAGO NTIFA TOLKE ALL WHITES ARG NAZIS GOD BLESS AMERICA ALL COPS AR BLM HOLY FINE PEOPLE HOAX BIDEN HARRIS TRUMP AMERICA FIRST AMERICA IS RACIST 
",te tae Ni oN an pik ye ie te WIRD ie Se TRUMP,1,0,1,0,1.0
